Date,Temp_C
2018-05-01 19:30:00,12.9275
2018-05-01 19:40:00,12.9275
2018-05-01 19:50:00,12.9275
2018-05-01 20:00:00,12.976
2018-05-01 20:10:00,12.976
2018-05-01 20:20:00,12.976
2018-05-01 20:30:00,13.0245
2018-05-01 20:40:00,13.0245
2018-05-01 20:50:00,13.0245
2018-05-01 21:00:00,13.0245
2018-05-01 21:10:00,12.977
2018-05-01 21:20:00,12.977
2018-05-01 21:30:00,12.977
2018-05-01 21:40:00,12.9775
2018-05-01 21:50:00,12.9775
2018-05-01 22:00:00,12.9295
2018-05-01 22:10:00,12.978
2018-05-01 22:20:00,12.978
2018-05-01 22:30:00,12.978
2018-05-01 22:40:00,13.0265
2018-05-01 22:50:00,13.0265
2018-05-01 23:00:00,13.0265
2018-05-01 23:10:00,13.075
2018-05-01 23:20:00,13.075
2018-05-01 23:30:00,13.1235
2018-05-01 23:40:00,13.1715
2018-05-01 23:50:00,13.2195
2018-05-02 00:00:00,13.268
2018-05-02 00:10:00,13.3645
2018-05-02 00:20:00,13.3645
2018-05-02 00:30:00,13.4125
2018-05-02 00:40:00,13.4125
2018-05-02 00:50:00,13.4125
2018-05-02 01:00:00,13.3645
2018-05-02 01:10:00,13.316
2018-05-02 01:20:00,13.268
2018-05-02 01:30:00,13.2675
2018-05-02 01:40:00,13.2195
2018-05-02 01:50:00,13.2195
2018-05-02 02:00:00,13.123
2018-05-02 02:10:00,13.123
2018-05-02 02:20:00,13.123
2018-05-02 02:30:00,13.123
2018-05-02 02:40:00,13.123
2018-05-02 02:50:00,13.123
2018-05-02 03:00:00,13.123
2018-05-02 03:10:00,13.1715
2018-05-02 03:20:00,13.1715
2018-05-02 03:30:00,13.2195
2018-05-02 03:40:00,13.1715
2018-05-02 03:50:00,13.1715
2018-05-02 04:00:00,13.1235
2018-05-02 04:10:00,13.1235
2018-05-02 04:20:00,13.075
2018-05-02 04:30:00,13.075
2018-05-02 04:40:00,12.9785
2018-05-02 04:50:00,12.978
2018-05-02 05:00:00,12.9295
2018-05-02 05:10:00,12.8815
2018-05-02 05:20:00,12.8815
2018-05-02 05:30:00,12.8815
2018-05-02 05:40:00,12.8815
2018-05-02 05:50:00,12.833
2018-05-02 06:00:00,12.785
2018-05-02 06:10:00,12.785
2018-05-02 06:20:00,12.737
2018-05-02 06:30:00,12.737
2018-05-02 06:40:00,12.737
2018-05-02 06:50:00,12.737
2018-05-02 07:00:00,12.737
2018-05-02 07:10:00,12.6405
2018-05-02 07:20:00,12.6405
2018-05-02 07:30:00,12.6405
2018-05-02 07:40:00,12.6405
2018-05-02 07:50:00,12.6405
2018-05-02 08:00:00,12.5925
2018-05-02 08:10:00,12.5925
2018-05-02 08:20:00,12.5445
2018-05-02 08:30:00,12.5445
2018-05-02 08:40:00,12.593
2018-05-02 08:50:00,12.593
2018-05-02 09:00:00,12.593
2018-05-02 09:10:00,12.593
2018-05-02 09:20:00,12.6415
2018-05-02 09:30:00,12.593
2018-05-02 09:40:00,12.69
2018-05-02 09:50:00,12.69
2018-05-02 10:00:00,12.738
2018-05-02 10:10:00,12.786
2018-05-02 10:20:00,12.738
2018-05-02 10:30:00,12.7865
2018-05-02 10:40:00,12.8345
2018-05-02 10:50:00,12.931
2018-05-02 11:00:00,12.931
2018-05-02 11:10:00,12.9795
2018-05-02 11:20:00,13.1235
2018-05-02 11:30:00,13.268
2018-05-02 11:40:00,13.364
2018-05-02 11:50:00,13.364
2018-05-02 12:00:00,13.4595
2018-05-02 12:10:00,13.363
2018-05-02 12:20:00,13.4105
2018-05-02 12:30:00,13.2185
2018-05-02 12:40:00,13.2675
2018-05-02 12:50:00,13.3145
2018-05-02 13:00:00,13.362
2018-05-02 13:10:00,13.266
2018-05-02 13:20:00,13.362
2018-05-02 13:30:00,13.314
2018-05-02 13:40:00,13.41
2018-05-02 13:50:00,13.5065
2018-05-02 14:00:00,13.555
2018-05-02 14:10:00,13.6025
2018-05-02 14:20:00,13.6505
2018-05-02 14:30:00,13.6025
2018-05-02 14:40:00,13.6025
2018-05-02 14:50:00,13.6025
2018-05-02 15:00:00,13.555
2018-05-02 15:10:00,13.6025
2018-05-02 15:20:00,13.5065
2018-05-02 15:30:00,13.5055
2018-05-02 15:40:00,13.5055
2018-05-02 15:50:00,13.5055
2018-05-02 16:00:00,13.5055
2018-05-02 16:10:00,13.457
2018-05-02 16:20:00,13.4565
2018-05-02 16:30:00,13.3595
2018-05-02 16:40:00,13.311
2018-05-02 16:50:00,13.311
2018-05-02 17:00:00,13.359
2018-05-02 17:10:00,13.359
2018-05-02 17:20:00,13.359
2018-05-02 17:30:00,13.311
2018-05-02 17:40:00,13.263
2018-05-02 17:50:00,13.1675
2018-05-02 18:00:00,13.1675
2018-05-02 18:10:00,13.1195
2018-05-02 18:20:00,13.0715
2018-05-02 18:30:00,13.0715
2018-05-02 18:40:00,13.1195
2018-05-02 18:50:00,13.12
2018-05-02 19:00:00,13.072
2018-05-02 19:10:00,13.072
2018-05-02 19:20:00,13.072
2018-05-02 19:30:00,13.072
2018-05-02 19:40:00,13.072
2018-05-02 19:50:00,13.072
2018-05-02 20:00:00,13.1205
2018-05-02 20:10:00,13.073
2018-05-02 20:20:00,13.073
2018-05-02 20:30:00,13.025
2018-05-02 20:40:00,12.977
2018-05-02 20:50:00,13.0255
2018-05-02 21:00:00,13.0255
2018-05-02 21:10:00,13.0255
2018-05-02 21:20:00,12.9775
2018-05-02 21:30:00,12.9775
2018-05-02 21:40:00,13.026
2018-05-02 21:50:00,13.1225
2018-05-02 22:00:00,13.1225
2018-05-02 22:10:00,13.1225
2018-05-02 22:20:00,13.171
2018-05-02 22:30:00,13.171
2018-05-02 22:40:00,13.2675
2018-05-02 22:50:00,13.219
2018-05-02 23:00:00,13.2675
2018-05-02 23:10:00,13.2675
2018-05-02 23:20:00,13.3155
2018-05-02 23:30:00,13.364
2018-05-02 23:40:00,13.364
2018-05-02 23:50:00,13.412
2018-05-03 00:00:00,13.412
2018-05-03 00:10:00,13.46
2018-05-03 00:20:00,13.412
2018-05-03 00:30:00,13.412
2018-05-03 00:40:00,13.412
2018-05-03 00:50:00,13.4595
2018-05-03 01:00:00,13.411
